Country,Type,Year,AQI
"Bhiwadi, India",City,2018,125.4
"Ghaziabad, India",City,2018,135.2
"Hotan, China",City,2018,116.0
"Delhi, India",City,2018,113.5
"Jaunpur, India",City,2018,95.3
"Faisalabad, Pakistan",City,2018,130.4
"Noida, India",City,2018,123.6
"Bahawalpur, Pakistan",City,2018,84.85
"Peshawar, Pakistan",City,2018,76.75
"Bagpat, India",City,2018,88.85
"Hisar, India",City,2018,83.7
"Faridabad, India",City,2018,129.1
"Greater Noida, India",City,2018,89.43333333333334
"Rohtak, India",City,2018,81.6
"Lahore, Pakistan",City,2018,114.9
"Lucknow, India",City,2018,115.7
"Jind, India",City,2018,91.6
"Gurugram, India",City,2018,135.8
"Kashgar, China",City,2018,95.7
"Kanpur, India",City,2018,88.2
"Muzaffarpur, India",City,2018,110.3
"Varanasi, India",City,2018,82.6
"Sahiwal, Pakistan",City,2018,81.7
"Bulandshahr, India",City,2018,89.53333333333335
"Meerut, India",City,2018,81.44999999999999
"Kadaura, India",City,2018,80.3
"Patna, India",City,2018,119.7
"Dhaka, Bangladesh",City,2018,97.1
"N'Djamena, Chad",City,2018,77.6
"Dharuhera, India",City,2018,74.7
"Durgapur, India",City,2018,75.8
"Karagandy, Kazakhstan",City,2018,75.5
"Amroha, India",City,2018,75.0
"Sreepur, Bangladesh",City,2018,65.25
"Charkhi Dadri, India",City,2018,73.9
"Agra, India",City,2018,104.8
"Yamuna Nagar, India",City,2018,72.43333333333334
"Muzaffarnagar, India",City,2018,80.23333333333333
"Alampur, India",City,2018,65.96666666666667
"Shchuchinsk, Kazakhstan",City,2018,72.5
"Ludhiana, India",City,2018,55.1
"Sonipat, India",City,2018,58.43333333333334
"Kurukshetra, India",City,2018,63.800000000000004
"Burabay, Kazakhstan",City,2018,67.9
"Jodhpur, India",City,2018,113.4
"Kostanay, Kazakhstan",City,2018,67.4
"Singrauli, India",City,2018,86.8
"Ankleshwar, India",City,2018,53.166666666666664
"Igdir, Turkey",City,2018,66.2
"Ambala, India",City,2018,62.1
"Siddharthanagar, Nepal",City,2018,64.7
"Fatehabad, India",City,2018,70.9
"Bewar, India",City,2018,61.4
"Kaimla, India",City,2018,62.300000000000004
"Osh, Kyrgyzstan",City,2018,60.9
"Kutail, India",City,2018,67.4
"Narnaul, India",City,2018,54.45
"Asansol, India",City,2018,64.4
"Dushanbe, Tajikistan",City,2018,45.2
"Kolkata, India",City,2018,85.4
"Khujand, Tajikistan",City,2018,59.0
"Fatehgarh Sahib, India",City,2018,55.86666666666667
"Jalandhar, India",City,2018,56.4
"Hapur, India",City,2018,51.2
"Hajipur, India",City,2018,56.05
"Howrah, India",City,2018,64.2
"Kaithal, India",City,2018,54.03333333333333
"Sirsa, India",City,2018,59.56666666666666
"Kota, India",City,2018,52.7
"Jaipur, India",City,2018,67.6
"Navi Mumbai, India",City,2018,56.73333333333333
"Pali, India",City,2018,82.3
"Shihezi, China",City,2018,61.3
"Linfen, China",City,2018,68.2
"Gourela, India",City,2018,46.03333333333333
"Ahmedabad, India",City,2018,76.1
"Amritsar, India",City,2018,60.6
"Patiala, India",City,2018,44.1
"Muscat, Oman",City,2018,53.9
"Bhiwani, India",City,2018,51.46666666666666
"Guwahati, India",City,2018,57.6
"Puyang, China",City,2018,63.5
"Katni, India",City,2018,54.900000000000006
"Lampang, Thailand",City,2018,23.3
"Gwalior, India",City,2018,56.55
"Port Harcourt, Nigeria",City,2018,51.6
"Hebi, China",City,2018,55.8
"Rawalpindi, Pakistan",City,2018,44.86666666666667
"Aksu, China",City,2018,74.1
"Mandikhera, India",City,2018,51.3
"Kathmandu, Nepal",City,2018,54.4
"Anyang, China",City,2018,72.9
"Xiangyang, China",City,2018,60.5
"Manama, Bahrain",City,2018,59.8
"Changji, China",City,2018,55.0
"Krasnoyarsk, Russia",City,2018,23.1
"Luohe, China",City,2018,62.6
"Khanna, India",City,2018,41.6
"Baghdad, Iraq",City,2018,44.650000000000006
"Turpan, China",City,2018,56.1
"Zibo, China",City,2018,55.9
"Heze, China",City,2018,60.1
"Yuncheng, China",City,2018,59.8
"Panchkula, India",City,2018,56.2
"Bishkek, Kyrgyzstan",City,2018,41.666666666666664
"Jining, China",City,2018,50.1
"Pithampur, India",City,2018,46.2
"Kaifeng, China",City,2018,64.6
"Xuzhou, China",City,2018,65.5
"Angol, Chile",City,2018,47.7
"Liaocheng, China",City,2018,60.3
"Muridke, Pakistan",City,2018,63.26666666666666
"Chandrapur, India",City,2018,41.4
"Xinxiang, China",City,2018,61.4
"Jiaozuo, China",City,2018,66.9
"Nanyang, China",City,2018,60.6
"Pingdingshan, China",City,2018,65.1
"North Guwahati, India",City,2018,47.1
"Pai, Thailand",City,2018,29.4
"Wuhan, China",City,2018,46.9
"Gaya, India",City,2018,96.6
"Novi Pazar, Serbia",City,2018,46.6
"Shijiazhuang, China",City,2018,76.7
"Mumbai, India",City,2018,58.6
"Taiyuan, China",City,2018,55.9
"Manikganj, Bangladesh",City,2018,63.1
"Foca, Bosnia Herzegovina",City,2018,46.0
"Yangquan, China",City,2018,59.0
"Karachi, Pakistan",City,2018,33.7
"Shangqiu, China",City,2018,61.9
"Xianyang, China",City,2018,67.8
"Handan, China",City,2018,74.0
"Huangpi, China",City,2018,45.6
"Jingmen, China",City,2018,56.2
"Pimpri-Chinchwad, India",City,2018,40.96666666666667
"Barddhaman, India",City,2018,45.6
"Indore, India",City,2018,42.75
"Baoding, China",City,2018,70.7
"Urumqi, China",City,2018,59.2
"Fengrun, China",City,2018,45.3
"Weinan, China",City,2018,58.2
"Xuchang, China",City,2018,64.2
"Pervomayka, Kazakhstan",City,2018,45.0
"Luoyang, China",City,2018,59.9
"Xinzhou, China",City,2018,51.4
"Bathinda, India",City,2018,39.03333333333333
"Luancheng, China",City,2018,44.8
"Zhoukou, China",City,2018,58.9
"Zaozhuang, China",City,2018,57.6
"Fuyang, China",City,2018,54.4
"Linyi, China",City,2018,50.2
"Ujjain, India",City,2018,54.0
"Zigong, China",City,2018,56.8
"Duzce, Turkey",City,2018,41.23333333333333
"Visakhapatnam, India",City,2018,52.8
"Qarchak, Iran",City,2018,41.85
"Shahecheng, China",City,2018,44.1
"Dezhou, China",City,2018,54.8
"Taian, China",City,2018,51.7
"Khartoum, Sudan",City,2018,44.1
"Xingtai, China",City,2018,76.7
"Shouguang, China",City,2018,52.6
"Kizilsu, China",City,2018,60.0
"Ajmer, India",City,2018,54.0
"Chandigarh, India",City,2018,42.86666666666667
"Gandhinagar, India",City,2018,46.1
"Shymkent, Kazakhstan",City,2018,43.5
"Zhengzhou, China",City,2018,64.1
"Yibin, China",City,2018,49.3
"Tangshan, China",City,2018,63.5
"Yanta, China",City,2018,43.2
"Zhoucun, China",City,2018,43.2
"Yangliuqing, China",City,2018,43.1
"Changsha, China",City,2018,45.8
"Yangcun, China",City,2018,43.0
