Location,2021,2020,2019,2018,Type
"Bhiwadi, India",106.2,95.5,83.4,125.4,City
"Ghaziabad, India",102.0,106.6,110.2,135.2,City
"Hotan, China",101.5,110.2,110.1,116.0,City
"Delhi, India",96.4,84.1,98.6,113.5,City
"Jaunpur, India",95.3,,,,City
"Faisalabad, Pakistan",94.2,73.2,104.6,130.4,City
"Noida, India",91.4,94.3,97.7,123.6,City
"Bahawalpur, Pakistan",91.0,78.7,,,City
"Peshawar, Pakistan",89.6,,63.9,,City
"Bagpat, India",89.1,,88.6,,City
"Hisar, India",89.0,81.1,81.0,,City
"Faridabad, India",88.9,83.3,85.0,129.1,City
"Greater Noida, India",87.5,89.5,91.3,,City
"Rohtak, India",86.9,74.4,59.7,81.6,City
"Lahore, Pakistan",86.5,79.2,89.5,114.9,City
"Lucknow, India",86.0,86.2,90.3,115.7,City
"Jind, India",84.1,81.6,85.4,91.6,City
"Gurugram, India",83.4,75.3,93.1,135.8,City
"Kashgar, China",83.2,81.0,87.1,95.7,City
"Kanpur, India",83.2,89.1,48.5,88.2,City
"Muzaffarpur, India",82.9,74.3,81.2,110.3,City
"Varanasi, India",82.6,,,,City
"Sahiwal, Pakistan",81.7,,,,City
"Bulandshahr, India",80.8,98.4,89.4,,City
"Meerut, India",80.6,82.3,,,City
"Kadaura, India",80.3,,,,City
"Patna, India",78.2,68.4,82.1,119.7,City
"Dhaka, Bangladesh",78.1,77.1,83.3,97.1,City
"N'Djamena, Chad",77.6,,,,City
"Dharuhera, India",76.9,72.5,,,City
"Durgapur, India",75.8,,,,City
"Karagandy, Kazakhstan",75.5,,,,City
"Amroha, India",75.0,,,,City
"Sreepur, Bangladesh",74.8,55.7,,,City
"Charkhi Dadri, India",73.9,,,,City
"Agra, India",73.4,80.2,57.2,104.8,City
"Yamuna Nagar, India",73.3,74.5,69.5,,City
"Muzaffarnagar, India",73.0,78.6,89.1,,City
"Alampur, India",72.5,66.2,59.2,,City
"Shchuchinsk, Kazakhstan",72.5,,,,City
"Ludhiana, India",71.8,45.2,49.3,55.1,City
"Sonipat, India",68.7,47.4,59.2,,City
"Kurukshetra, India",68.1,67.2,56.1,,City
"Burabay, Kazakhstan",67.9,,,,City
"Jodhpur, India",67.8,67.1,77.2,113.4,City
"Kostanay, Kazakhstan",67.4,,,,City
"Singrauli, India",67.3,70.8,59.1,86.8,City
"Ankleshwar, India",66.5,51.7,41.3,,City
"Igdir, Turkey",66.2,,,,City
"Ambala, India",65.3,58.0,63.0,,City
"Siddharthanagar, Nepal",64.7,,,,City
"Fatehabad, India",63.3,78.5,,,City
"Bewar, India",61.4,,,,City
"Kaimla, India",60.9,63.2,62.8,,City
"Osh, Kyrgyzstan",60.9,,,,City
"Kutail, India",59.9,61.9,80.4,,City
"Narnaul, India",59.7,49.2,,,City
"Asansol, India",59.7,55.3,50.9,64.4,City
"Dushanbe, Tajikistan",59.5,30.9,,,City
"Kolkata, India",59.0,46.6,59.8,85.4,City
"Khujand, Tajikistan",59.0,,,,City
"Fatehgarh Sahib, India",58.4,64.8,44.4,,City
"Jalandhar, India",58.3,52.2,41.0,56.4,City
"Hapur, India",58.2,44.2,,,City
"Hajipur, India",58.1,54.0,,,City
"Howrah, India",58.0,53.7,55.9,64.2,City
"Kaithal, India",57.8,54.3,50.0,,City
"Sirsa, India",57.8,47.2,73.7,,City
"Kota, India",57.0,42.1,49.1,52.7,City
"Jaipur, India",56.6,43.8,50.5,67.6,City
"Navi Mumbai, India",56.0,52.6,61.6,,City
"Pali, India",55.9,46.4,54.6,82.3,City
"Shihezi, China",55.7,57.5,63.3,61.3,City
"Linfen, China",55.5,52.5,61.7,68.2,City
"Gourela, India",55.4,39.3,43.4,,City
"Ahmedabad, India",55.1,49.0,59.0,76.1,City
"Amritsar, India",55.0,47.1,47.2,60.6,City
"Patiala, India",54.0,41.1,35.2,44.1,City
"Muscat, Oman",53.9,,,,City
"Bhiwani, India",53.8,39.0,61.6,,City
"Guwahati, India",53.1,62.1,,,City
"Puyang, China",52.8,59.3,63.4,63.5,City
"Katni, India",52.2,57.6,,,City
"Lampang, Thailand",52.2,31.6,33.1,23.3,City
"Gwalior, India",52.0,61.1,,,City
"Port Harcourt, Nigeria",51.6,,,,City
"Hebi, China",51.4,58.9,62.1,55.8,City
"Rawalpindi, Pakistan",51.4,42.4,40.8,,City
"Aksu, China",51.2,58.4,54.0,74.1,City
"Mandikhera, India",50.9,51.7,,,City
"Kathmandu, Nepal",50.9,39.2,48.0,54.4,City
"Anyang, China",50.8,61.5,70.3,72.9,City
"Xiangyang, China",50.6,52.5,60.4,60.5,City
"Manama, Bahrain",49.8,39.7,46.8,59.8,City
"Changji, China",49.8,53.5,48.2,55.0,City
"Krasnoyarsk, Russia",49.8,14.7,17.7,23.1,City
"Luohe, China",49.7,55.4,60.0,62.6,City
"Khanna, India",49.7,42.6,36.1,41.6,City
"Baghdad, Iraq",49.7,,39.6,,City
"Turpan, China",49.6,49.5,56.3,56.1,City
"Zibo, China",49.2,53.9,57.7,55.9,City
"Heze, China",48.5,54.2,59.7,60.1,City
"Yuncheng, China",48.4,57.7,61.2,59.8,City
