Country,Year,AQI
Afghanistan,2018,61.8
Afghanistan,2019,58.8
Afghanistan,2020,46.5
Afghanistan,2021,40.86923076923077
Albania,2018,14.273076923076923
Albania,2019,14.273076923076923
Albania,2020,16.0
Albania,2021,12.546153846153846
Algeria,2018,20.494871794871795
Algeria,2019,21.2
Algeria,2020,20.2
Algeria,2021,20.084615384615386
Andorra,2018,7.280769230769231
Andorra,2019,7.280769230769231
Andorra,2020,7.4
Andorra,2021,7.161538461538461
Angola,2018,13.325641025641024
Angola,2019,15.9
Angola,2020,13.0
Angola,2021,11.076923076923077
Argentina,2018,12.575694444444444
Argentina,2019,14.6
Argentina,2020,14.2
Argentina,2021,8.927083333333334
Armenia,2018,28.492
Armenia,2019,25.5
Armenia,2020,24.9
Armenia,2021,35.076
Australia,2018,6.8
Australia,2019,8.0
Australia,2020,7.6
Australia,2021,5.226211278792693
Austria,2018,15.0
Austria,2019,12.2
Austria,2020,10.9
Austria,2021,10.750304259634888
Azerbaijan,2018,17.55
Azerbaijan,2019,17.55
Azerbaijan,2020,17.55
Azerbaijan,2021,17.55
Bahamas,2018,4.808
Bahamas,2019,4.808
Bahamas,2020,4.808
Bahamas,2021,4.808
Bahrain,2018,59.8
Bahrain,2019,46.8
Bahrain,2020,39.7
Bahrain,2021,49.776923076923076
Bangladesh,2018,97.1
Bangladesh,2019,83.3
Bangladesh,2020,77.1
Bangladesh,2021,52.056896551724144
Belgium,2018,13.5
Belgium,2019,12.5
Belgium,2020,8.9
Belgium,2021,11.581430745814307
"Bonaire, Saint Eustatius and Saba",2018,4.938461538461539
"Bonaire, Saint Eustatius and Saba",2019,4.938461538461539
"Bonaire, Saint Eustatius and Saba",2020,4.938461538461539
"Bonaire, Saint Eustatius and Saba",2021,4.938461538461539
Bosnia Herzegovina,2018,40.0
Bosnia Herzegovina,2019,34.6
Bosnia Herzegovina,2020,40.6
Bosnia Herzegovina,2021,33.42357414448669
Brazil,2018,16.3
Brazil,2019,15.8
Brazil,2020,14.2
Brazil,2021,12.334615384615384
Bulgaria,2018,25.8
Bulgaria,2019,25.5
Bulgaria,2020,27.5
Bulgaria,2021,16.075510204081635
Cambodia,2018,20.1
Cambodia,2019,21.1
Cambodia,2020,21.1
Cambodia,2021,19.509090909090908
Canada,2018,7.9
Canada,2019,7.7
Canada,2020,7.3
Canada,2021,8.001059402194477
Cape Verde,2018,4.8
Cape Verde,2019,4.8
Cape Verde,2020,4.8
Cape Verde,2021,4.8
Chad,2018,53.92272727272727
Chad,2019,53.92272727272727
Chad,2020,53.92272727272727
Chad,2021,53.92272727272727
Chile,2018,24.9
Chile,2019,22.6
Chile,2020,19.3
Chile,2021,18.566666666666666
China,2018,41.2
China,2019,39.1
China,2020,34.7
China,2021,29.86292347377472
Colombia,2018,13.9
Colombia,2019,14.6
Colombia,2020,15.6
Colombia,2021,12.908163265306122
Costa Rica,2018,8.805128205128206
Costa Rica,2019,10.4
Costa Rica,2020,8.2
Costa Rica,2021,7.815384615384615
Croatia,2018,22.2
Croatia,2019,19.1
Croatia,2020,21.2
Croatia,2021,13.635185185185184
Cyprus,2018,17.6
Cyprus,2019,19.7
Cyprus,2020,15.8
Cyprus,2021,13.870588235294118
Czech Republic,2018,20.2
Czech Republic,2019,14.4
Czech Republic,2020,12.3
Czech Republic,2021,15.76692607003891
Denmark,2018,9.54952380952381
Denmark,2019,9.6
Denmark,2020,9.4
Denmark,2021,9.648571428571428
Ecuador,2018,7.431884057971014
Ecuador,2019,8.6
Ecuador,2020,7.6
Ecuador,2021,6.095652173913043
Egypt,2018,28.976923076923075
Egypt,2019,28.976923076923075
Egypt,2020,28.976923076923075
Egypt,2021,28.976923076923075
Estonia,2018,7.2
Estonia,2019,6.2
Estonia,2020,5.9
Estonia,2021,5.396907216494846
Ethiopia,2018,27.1
Ethiopia,2019,20.1
Ethiopia,2020,14.7
Ethiopia,2021,15.979166666666666
Finland,2018,6.6
Finland,2019,5.6
Finland,2020,5.0
Finland,2021,5.142641509433962
France,2018,13.2
France,2019,12.3
France,2020,11.1
France,2021,9.402640757349277
Georgia,2018,21.317117117117117
Georgia,2019,20.1
Georgia,2020,20.4
Georgia,2021,23.45135135135135
Germany,2018,13.0
Germany,2019,11.0
Germany,2020,10.1
Germany,2021,9.91482254697286
Ghana,2018,27.992424242424246
Ghana,2019,30.3
Ghana,2020,26.9
Ghana,2021,26.777272727272727
Greece,2018,19.50558558558558
Greece,2019,22.5
Greece,2020,18.4
Greece,2021,17.616756756756754
Grenada,2018,5.461538461538462
Grenada,2019,5.461538461538462
Grenada,2020,5.461538461538462
Grenada,2021,5.461538461538462
